MAC,acc
15500415.0, 91.39
15982632.0, 92.0
16523290.0, 92.4
17055214.0, 92.6
17641442.0, 92.8
18240854.0, 92.92
18965904.0, 92.94
19658700.0, 92.97
20528316.0, 92.97
21313202.0, 93.09
22230918.0, 93.09
23100966.0, 93.09
24043012.0, 93.09
24990178.0, 93.09
25958720.0, 93.09
26793892.0, 93.09
27600612.0, 93.09
28364026.0, 93.09
29174788.0, 93.09
29897692.0, 93.09
30593202.0, 93.09
31154204.0, 93.09
31951992.0, 93.09
32179548.0, 93.09
32969064.0, 93.09
32976354.0, 93.09
34104072.0, 93.09
34125688.0, 93.09
34640032.0, 93.09
34679964.0, 93.09
34727040.0, 93.09
34760888.0, 93.09
34817372.0, 93.09
35561840.0, 93.09
35608700.0, 93.09
35642716.0, 93.09
35765312.0, 93.09
35804080.0, 93.09
35852344.0, 93.09
