MAC,acc
15480464.0, 91.37
15939798.0, 91.93
16508906.0, 92.36
17065292.0, 92.62
17679828.0, 92.83
18218388.0, 92.94
18952842.0, 92.92
19716546.0, 93.04
20617634.0, 93.11
21458282.0, 93.04
22259288.0, 93.03
23142716.0, 93.13
24096206.0, 93.17
24982192.0, 93.1
25913728.0, 93.14
26715148.0, 93.12
27506010.0, 93.1
28272034.0, 93.09
29125620.0, 93.09
29944658.0, 93.09
30596692.0, 93.09
31276516.0, 93.09
31757896.0, 93.09
32312944.0, 93.09
32979510.0, 93.09
33163188.0, 93.09
34101432.0, 93.09
34529048.0, 93.09
34556164.0, 93.09
34602180.0, 93.09
34651792.0, 93.09
34700400.0, 93.09
34735512.0, 93.09
35543168.0, 93.09
35584632.0, 93.09
35638784.0, 93.09
35675848.0, 93.09
35770812.0, 93.09
35814296.0, 93.09
