MAC,acc
15475988.0, 65.46
15947816.0, 66.0
16359514.0, 66.34
16880764.0, 66.95
17486272.0, 67.57
18128820.0, 68.36
18876716.0, 69.15
19811818.0, 69.77
20919466.0, 70.46
22079910.0, 71.16
23262070.0, 71.81
24552932.0, 72.12
25838212.0, 72.65
27218980.0, 72.93
28577684.0, 73.1
30037924.0, 73.31
31532262.0, 73.42
33034250.0, 73.61
34482996.0, 73.58
35808360.0, 73.64
36983960.0, 73.72
38184464.0, 73.78
39299856.0, 73.79
40346160.0, 73.67
41371744.0, 73.71
42258440.0, 73.63
43124608.0, 73.52
44009024.0, 73.49
44731800.0, 73.48
45495116.0, 73.48
46125136.0, 73.44
46757072.0, 73.47
47369976.0, 73.51
47901008.0, 73.5
48391436.0, 73.44
48796352.0, 73.44
49222152.0, 73.49
49680268.0, 73.45
50106000.0, 73.44
