MAC,acc
15499873.0, 65.85
15928792.0, 66.37
16445685.0, 67.26
17039456.0, 67.92
17665132.0, 68.52
18379050.0, 69.15
19185052.0, 69.66
20245402.0, 70.69
21209378.0, 71.31
22330742.0, 72.22
23477762.0, 72.86
24736166.0, 73.3
26276526.0, 73.74
27715746.0, 73.87
29158966.0, 74.29
30566016.0, 74.29
32071224.0, 74.29
33467042.0, 74.29
34762488.0, 74.29
35968848.0, 74.29
37139956.0, 74.29
38351036.0, 74.29
39458516.0, 74.29
40463184.0, 74.29
41411464.0, 74.29
42255752.0, 74.29
43112108.0, 74.29
43995488.0, 74.29
44784608.0, 74.29
45463304.0, 74.29
46139792.0, 74.29
46730020.0, 74.29
47200752.0, 74.29
47778536.0, 74.29
48309728.0, 74.29
48808104.0, 74.29
49239624.0, 74.29
49628320.0, 74.29
50048532.0, 74.29
