MAC,acc
15454221.0, 64.43
15870627.0, 64.97
16387851.0, 65.65
16862432.0, 66.29
17482916.0, 66.94
18139644.0, 67.59
18971650.0, 68.57
19837132.0, 69.12
20850698.0, 69.98
22036658.0, 70.88
23256320.0, 71.5
24557244.0, 72.17
25781948.0, 72.55
27092570.0, 73.04
28543972.0, 73.4
29909804.0, 73.85
31400342.0, 74.15
32719152.0, 74.15
34046164.0, 74.15
35443192.0, 74.15
36753800.0, 74.15
37979604.0, 74.15
39099876.0, 74.15
40171244.0, 74.15
41127512.0, 74.15
42049288.0, 74.15
42835548.0, 74.15
43704248.0, 74.15
44560008.0, 74.15
45214996.0, 74.15
45942960.0, 74.15
46588800.0, 74.15
47156408.0, 74.15
47776328.0, 74.15
48294424.0, 74.15
48776700.0, 74.15
49258636.0, 74.15
49675520.0, 74.15
50061152.0, 74.15
