MAC,acc
15505119.0, 65.84
15933383.0, 66.39
16460033.0, 67.26
17116718.0, 67.97
17813692.0, 68.62
18533054.0, 69.36
19377508.0, 69.84
20377688.0, 70.73
21343814.0, 71.46
22519486.0, 72.38
23606626.0, 72.97
24824818.0, 73.37
26117222.0, 73.77
27476302.0, 73.74
28901112.0, 74.19
30397080.0, 74.42
31759622.0, 74.73
33212052.0, 74.82
34496260.0, 74.98
35857928.0, 75.13
37134596.0, 75.29
38264260.0, 75.29
39363672.0, 75.33
40413380.0, 75.29
41358124.0, 75.12
42284992.0, 75.03
43041688.0, 75.01
43847744.0, 74.89
44621056.0, 74.8
45329096.0, 74.72
46067328.0, 74.65
46730596.0, 74.58
47260104.0, 74.57
47801944.0, 74.53
48347512.0, 74.49
48846104.0, 74.47
49319612.0, 74.46
49722112.0, 74.44
50082240.0, 74.43
